ID,Mass,RT,22-72b1-silique-NL-0V,22-72b1-silique-NL-10V,22-72b1-silique-NL-15V,22-72b1-silique-NL-20V,22-72b1-silique-NL-25V,22-72b1-silique-NL-30V,22-72b1-silique-NL-35V,22-72b1-silique-NL-40V,22-72b1-silique-NL-45V,22-72b1-silique-NL-0V
1,493.1109,3.09,3587860.564,3621158.203,3481060.948,2543504.983,1163722.158,761463.7616,662007.0075,666566.0422,620853.6667,3587860.564
2,224.0686,5.01,2584223.711,3249470.887,3336469.636,3266263.363,2987475.75,2838713.784,2714562.249,2528918.126,2091997.213,2584223.711
3,448.2597,14.34,3780575.281,3440139.871,2280320.189,1331242.508,1271482.442,895007.0208,995951.1131,807132.3128,625620.5759,3780575.281
4,448.1009,5.32,4178771.315,4077118.298,3473252.055,3228601.534,2950593.934,2749900.241,2627190.94,2311104.963,1762335.916,4178771.315
5,437.0486,1.23,2613291.328,2767176.365,2551245.44,1541300.533,1074271.899,1162628.568,1237826.241,1313594.835,1309889.473,2613291.328
6,495.0872,5.13,2807350.87,2917689.63,2744567.675,1978407.789,1007092.14,800493.3664,742418.551,730827.7964,685332.0068,2807350.87
7,448.0611,3.04,2700831.828,2818722.559,2477173.562,1464278.658,801600.3716,690624.3884,683527.5947,645028.6316,570836.2386,2700831.828
8,446.2434,13.08,4349685.692,3641511.072,2543615.219,1971756.122,2042572.083,1931267.687,1682911.243,1482269.623,864183.0554,4349685.692
9,422.242,14.58,11352.03684,14626.09251,15598.97669,13645.1137,8537.108984,5608.896828,1,4818.481092,279084.9749,11352.03684
10,422.2432,15.09,1,1,1,295808.0137,159780.9531,376305.1215,319721.4836,276428.9789,91326.30228,1
11,594.1587,4.33,2358154.67,3758514.239,4255735.528,4558190.833,4465173.12,4041773.538,3630027.49,3482451.053,3363461.637,2358154.67
12,610.1534,3.44,1384870.452,2513811.954,2799852.911,3032935.966,3058054.413,2869733.893,2636170.72,2469890.992,2446346.201,1384870.452
13,578.1631,4.75,1407341.808,3041192.886,3352632.256,3223445.559,2851437.047,2605493.324,2451646.561,2488841.693,2548172.89,1407341.808
14,740.2163,3.63,2090771.265,2528155.471,2958801.439,3027710.173,2697704.746,2304978.42,2105133.403,2077010.318,2075784.866,2090771.265
15,610.1534,3.94,2004829.904,2598459.175,3238479.716,3658117.875,3536940.937,3115815.009,2830465.75,2725504.721,2607834.072,2004829.904
16,610.1535,3.43,1804912.456,3231196.919,3620199.696,3997102.38,4028306,3739964.554,3397396.008,3178611.874,3110933.681,1804912.456
17,449.2638,14.33,1003871.496,945016.5544,539978.4535,243033.2656,317883.0202,298480.4253,251764.0816,148201.6914,163297.8432,1003871.496
18,448.2591,14.47,3780575.281,3440139.871,2280252.859,999422.3434,882991.1069,313501.9319,691383.0112,733578.4137,572123.9937,3780575.281
19,756.2115,3.37,1086984.859,1615535.393,1988245.326,2160993.594,2131791.602,2061972.132,1732074.979,1380106.751,1178778.077,1086984.859
