ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
1,493.1109,3.09,2213084.329,2171770.42,2878759.509,1656539.31,2711720.625,4583627.69,4525742.834,3783627.095,4542815.929,4084725.12
2,224.0686,5.01,2795729.758,2801316.15,2920471.122,2895962.806,2805252.241,1026302.714,1054282.323,1037058.46,1063346.769,1143435.288
3,448.2597,14.34,3645360.853,5229936.007,5658978.272,4236876.71,4503845.828,2306416.291,1072395.203,2340199.577,2196197.001,2206426.366
4,448.1009,5.32,998370.4147,1023305.627,1313690.643,790792.1213,1055992.736,5645896.982,5887797.782,6256523.339,6081340.691,6147738.847
5,437.0486,1.23,1750314.944,1924106.156,2251654.469,1665015.732,2560721.912,3432613.006,3491249.977,3178657.608,3424594.689,3326565.359
6,495.0872,5.13,54976.62568,58958.13672,173522.4018,94106.1875,387510.4308,3861600.098,3930647.6,3654845.047,3849875.048,3609927.119
7,448.0611,3.04,1457444.71,1754131.319,2047050.159,1043711.632,2294919.526,3370328.546,3435305.489,2723515.314,3441832.863,2983413.803
8,446.2434,13.08,6078454.378,5791470.482,6494330.243,5179558.548,5349441.711,2293575.108,1260903.78,1911456.145,1890742.231,1737585.754
9,422.242,14.58,3312587.898,3410367.106,3500675.013,2341034.177,13251.38226,1,12250.72525,14564.96633,1,13302.91924
10,422.2432,15.09,704431.492,1387426.066,774087.6952,1902824.268,10816.02251,1,1,1,1,1
11,594.1587,4.33,2162705.277,2095312.861,2104143.155,2119584.589,2241195.251,2196224.078,2311859.54,2342744.493,2384155.88,2335336.477
12,610.1534,3.44,1143909.347,1083308.743,1172851.91,1051149.648,1304612.321,1273536.99,1354056.657,1394706.673,1383693.285,1416888.252
13,578.1631,4.75,1360893.545,1332623.305,1331613.654,1312977.095,1408075.346,1917917.641,2015113.31,2061454.523,2088447.451,2050380.977
14,740.2163,3.63,2072239.404,2084421.292,2066885.539,2050723.87,2173707.423,916536.39,981309.8497,960670.3504,1184904.168,1166670.505
15,610.1534,3.94,1885268.869,1839748.304,1892267.147,1854934.304,1966636.096,1670398.965,1792334.969,1794841.068,1771277.171,1786899.554
